Player,Team,Age,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,Spoils
Josh Daicos,Collingwood,21,Midfielder,5,3.9,53,63.2,0,0,71.6,8,9,17,69.412,47.5,88.889,47.059,1.4,1.4,200,11.765,2.4,7.083,4.8,3.542,4.8,12.6,17.4,27.586,1.8,3.4,0.4,1,1.4,3.8,0,0,0,0.4,0.8,1,-0.2,0,0,0,,0,,2.6,1,0,,0,,1,0.2,0.4,0.8,0,,2.8,13.861,0.2,0.2,0.2,13.4,0
Josh Deluca,Carlton,23,Med Forward,6,7.267,55.5,52.833,0,0,73.333,5.167,6.667,11.833,64.789,48.387,77.5,43.662,1.667,0.167,118.5,10.014,2.333,5.071,2.5,4.733,5.833,5.333,11.167,52.239,1.167,5.5,0.167,0.833,1,2.167,0.333,1,0,0.333,0,0.667,-0.667,0,0,0,,0,,3.833,1.5,0,,0.667,,4,0.667,0.167,1.333,0.167,,3,14.4,1,0,0.833,15.667,0.167
Josh Dunkley,Western Bulldogs,22,Midfielder,23,14.352,116.043,110.043,72,3.13,84.522,13.348,14.957,28.304,70.661,57.655,82.267,47.158,3.696,1.261,291.609,10.303,3.087,9.169,4.522,6.26,13.652,14.609,28.261,48.308,3.739,10.478,1.652,3.609,5.261,4.13,0.348,0.652,0.435,0.174,1.957,0.826,1.13,2.174,2.459,0.478,22,0.043,,6.13,1.043,0.304,,0.609,7.143,11,0.478,0.348,1.043,0.478,45.833,6.826,27.986,1.783,0.043,2.304,21.304,1.087
Josh J. Kennedy,West Coast,32,Key Forward,22,8.073,63.455,54.455,17,0.773,81.591,6,2.318,8.318,60.656,57.576,68.627,72.131,0.864,0,159.818,19.213,2,4.159,2.227,3.735,4.545,4.045,8.591,52.91,0.727,2.136,0,0.136,0.136,4.045,1.318,2.864,0.091,1.318,0.773,1,-0.227,0.227,0.252,0.136,,0.091,,1.773,1,0,,3.227,30.986,49,2.227,1.318,4.182,0.545,53.261,5.273,23.387,0.364,0,1.091,7.091,0.636
Josh Jenkins,Adelaide,30,Key Forward,11,8.627,68.364,75.091,4,0.364,87.273,9.091,3.273,12.364,59.559,58,63.889,73.529,1.909,0.545,235.909,19.081,1.818,6.8,2.364,5.231,5.273,7,12.273,42.963,0.636,2.273,0,0.727,0.727,5.091,1.273,1.818,0.091,1.545,1.364,0.545,0.818,14.636,16.719,6.182,42.236,1.091,17.647,1.636,0.636,0.273,,4.818,35.849,22,2,1.545,4.091,0.273,48.889,5.273,22.745,0.545,0.182,1.273,10.455,1.091
Josh Kelly,Greater Western Sydney,24,Midfielder,18,13.628,113.611,110.556,46,2.556,81.111,15.944,12.222,28.167,69.428,54.355,89.091,56.607,4.167,1.444,425.389,15.103,2.722,10.347,4.889,5.761,10.944,17.333,28.278,38.703,3.222,8.556,1.778,3,4.778,3.833,0.167,0.389,0.222,0.444,1.111,0.389,0.722,0,0,0,,0,,5.389,0.667,0.167,,0.167,,14,0.778,0.611,1.722,0.556,45.161,7.278,30.969,1.667,0.222,1.056,20.889,0.389
Josh P. Kennedy,Sydney,31,Midfielder,19,13.489,106.632,100.263,26,1.368,77,12.263,14.263,26.526,68.056,53.219,80.812,46.23,3.632,1.211,303.105,11.427,3.632,7.304,4.684,5.663,12.684,13.316,26,48.785,2.789,10.526,1.737,4.474,6.211,2.737,0.105,0.211,0.211,0.053,0.842,1.105,-0.263,0.053,0.058,0,,0,,6.632,0.474,0.263,,0.105,,7,0.368,0.474,1.211,0.579,30.435,5.421,26.076,1.842,0,0.947,20.421,0.158
Josh Rotham,West Coast,21,Med Defender,4,5.575,63.25,55.25,0,0,79.25,8.5,3.75,12.25,95.918,94.118,,69.388,1.25,2.25,172,14.041,1,12.25,0.5,24.5,2.5,10,12.5,20,3.75,1.75,0,0,0,6,0.25,0,1,0,0.5,0.75,-0.25,0,0,0,,0,,1.5,0,0.75,,0,,0,0,0,0,0.25,,1.75,8.75,0.25,0,4.75,6.75,4.75
Josh Schache,Western Bulldogs,22,Key Forward,14,7.664,56.857,54,7,0.5,77.714,6.143,3.929,10.071,66.667,58.14,80,60.993,2.071,0.143,147.929,14.688,1.5,6.714,2.071,4.862,4.571,5.143,9.714,47.059,0.643,3.071,0.357,0.5,0.857,2.643,0.357,1.214,0.071,1.143,1.071,0.214,0.857,12.643,13.992,1.357,10.734,0.143,,1.786,0.5,0,,2.571,25,24,1.714,0.571,2.714,0.286,63.158,4.143,17.47,0.429,0,1.214,10.857,1
Josh Schoenfeld,Gold Coast,22,Med Forward,1,9,47,31,0,0,90,3,7,10,,,,,0,0,87,,2,5,4,2.5,7,4,11,,3,7,0,0,0,1,0,1,0,0,0,1,-1,0,0,0,,0,,2,0,0,,1,,0,0,0,0,0,,1,7.692,0,0,3,3,3
Josh Smith,West Coast,25,Midfielder,2,6,46.5,46.5,0,0,82,6.5,5,11.5,78.261,,,56.522,1.5,0.5,164,14.261,0.5,23,2,5.75,3.5,8,11.5,30.435,1.5,3.5,0.5,0.5,1,4.5,0,1,0,0.5,0,0,0,0,0,0,,0,,0,0,0,,0,,1,0.5,0.5,1,0.5,,4,17.778,1,0,1,19.5,1
Josh Thomas,Collingwood,28,Med Forward,22,8.773,63.364,60,0,0,77.273,7.136,7.227,14.364,71.835,59.236,84.277,49.684,2.364,0.5,165.409,11.516,1.818,7.9,2.227,6.449,5.273,9.636,14.909,35.366,0.818,4.318,0.045,0.682,0.727,2.955,0.091,0.727,0.045,0.318,0.545,0.409,0.136,0,0,0,,0,,2.364,0.591,0,,0.591,53.846,22,1,0.5,1.818,0.455,55,5,21.782,0.364,0.182,0.818,18.091,0.136
Josh Wagner,Melbourne,25,Med Defender,12,8.242,61.167,55.417,0,0,81.667,8.583,6.75,15.333,70.109,58.252,85.185,55.978,1.667,1.667,226.583,14.777,1.75,8.762,2.75,5.576,5.833,9.417,15.25,38.251,5.167,5.083,0.083,0.417,0.5,2.75,0.25,0,0.583,0.083,0.333,0.417,-0.083,0,0,0,,0,,2.167,0,1.583,31.579,0,,0,0,0.167,0.167,0.083,,3.083,13.858,1.167,0.583,2.5,11,2.083
Josh Walker,Brisbane,27,Key Defender,11,7.391,63.636,56.182,0,0,88.364,8.091,4.091,12.182,83.582,84.27,82.222,66.418,0.909,1.091,144.364,11.851,1.364,8.933,1.909,6.381,5.182,7.182,12.364,41.912,5.818,2.909,0,0,0,6.182,1.545,0,2.455,0.091,0.364,0.273,0.091,0.273,0.283,0.182,,0,,1.364,0.091,3.636,22.5,0.636,,0,0,0,0,0.182,,1.364,5.263,0.727,0,4.273,6,2.909
Justin McInerney,Sydney,19,Midfielder,1,2.3,21,13,0,0,56,1,0,1,,,,,1,0,41,,0,,0,,3,0,3,,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,,0,,2,0,0,,0,,0,0,0,0,0,,1,4.348,0,0,1,19,0
Justin Westhoff,Port Adelaide,33,Key Forward,20,10.865,80.2,77.25,20,1,85.4,10.85,6.55,17.4,69.253,60.829,83.206,62.356,1.95,1.75,258.9,14.879,2.8,6.214,3.55,4.901,6.45,10.9,17.35,37.176,4.4,4.4,0.3,0.3,0.6,5.85,0.85,1.15,1.05,0.5,0.5,0.75,-0.25,1.15,1.264,0.35,30.435,0.15,,2.8,0.85,0.7,28.571,1.6,37.5,12,0.6,0.65,1.65,0.6,36.364,4.5,18.634,0.75,0,4.15,12.95,3.1
Jy Simpkin,North Melbourne,21,Mid Forward,21,9.776,70.524,66.762,21,1,76.619,9.524,9.048,18.571,69.487,59,80.526,51.282,3.381,1,265.238,14.282,2.762,6.724,3.286,5.652,8.571,10.095,18.667,45.918,2.143,6.333,1.476,2.143,3.619,2.333,0.095,0.524,0.238,0.286,0.714,1.333,-0.619,0,0,0,,0,,3.571,0.619,0.143,,0.238,,6,0.286,0.381,0.905,0.524,31.579,4.571,19.917,1,0.095,1.095,17.81,0.381
Jye Caldwell,Greater Western Sydney,19,Midfielder,2,5.2,50,55,0,0,74,6.5,5,11.5,65.217,,,56.522,3,0.5,167,14.522,2,5.75,2.5,4.6,5,7,12,41.667,0.5,3,1,1.5,2.5,3.5,0.5,0,0.5,0,0,1,-1,0,0,0,,0,,4.5,1,0.5,,0,,0,0,0,0,0.5,,1,6.897,0.5,0,0,20,0
Kade Chandler,Melbourne,19,Med Forward,1,9.5,60,60,0,0,80,4,3,7,,,,,0,0,72,,1,7,1,7,4,4,8,,2,4,0,1,1,2,0,0,1,0,0,0,0,0,0,0,,0,,9,6,0,,0,,0,0,0,0,0,,2,11.765,1,0,2,23,0
Kade Kolodjashnij,Melbourne,24,Midfielder,2,1.85,42.5,46,0,0,69,5,3.5,8.5,,,,,1.5,0,179.5,,1.5,5.667,2,4.25,2.5,7,9.5,,1,1.5,0,0,0,3.5,0,0.5,0,0.5,0,0.5,-0.5,0,0,0,,0,,3,1,0.5,,0.5,,1,0.5,0,1,0.5,,2.5,13.158,0,0,2.5,16,2
Kade Simpson,Carlton,35,Med Defender,18,8.144,81.5,79.944,8,0.444,82.222,14.722,5.611,20.333,74.863,70.943,85.149,72.404,1.667,5.611,404.556,19.896,2.167,9.385,3.611,5.631,5.333,12.278,17.611,30.284,5.222,4.222,0.111,0.667,0.778,4.722,0.111,0.056,1,0.056,0.833,0.556,0.278,0,0,0,,0,,2.556,0.056,0.944,47.059,0,,3,0.167,0,0.278,0.167,,3.111,14.47,1.5,0.944,1.667,10.167,0.944
Kaiden Brand,Hawthorn,25,Key Defender,5,6.82,57.6,43.8,0,0,91.4,6.8,4.4,11.2,80.357,76.471,86.364,60.714,0.4,2.8,106.2,9.482,2.4,4.667,2.2,5.091,4.6,6.4,11,41.818,5,2.4,0,0.2,0.2,4,1.4,0,1.8,0,0.2,0.8,-0.6,0,0,0,,0,,1.2,0,3.2,6.25,0,,0,0,0,0,0,,1.6,7.143,0.2,0,6.2,5.6,6
Kamdyn McIntosh,Richmond,25,Midfielder,16,8.025,63.312,63.062,5,0.312,81.25,9.5,4.625,14.125,69.027,65.132,77.027,67.257,3.188,1.25,285.438,20.208,3,4.708,3.562,3.965,5.875,8.562,14.438,40.693,3.375,3.812,0.25,0.688,0.938,4,0.625,0.188,0.562,0.125,0.938,0.688,0.25,0.562,0.684,0.125,,0,,2.875,0.375,0.312,,0.812,61.538,7,0.438,0.188,0.75,0.312,58.333,3.062,13.172,0.625,0.625,2.125,13.438,1.125
Kane Farrell,Port Adelaide,20,Med Forward,7,6.686,48.571,45.143,0,0,79.143,5.143,3.286,8.429,67.797,66.667,69.565,61.017,1.571,0,143.714,17.051,1.429,5.9,3,2.81,4,4.571,8.571,46.667,0.714,3.286,0,0.143,0.143,2,0.143,1.286,0,0.143,0.571,0.429,0.143,0,0,0,,0,,2,1.143,0,,1.286,,11,1.571,0.429,2,0,78.571,3.286,15.132,0.286,0.143,1.429,13,1
Kane Lambert,Richmond,28,Med Forward,21,12.138,86.238,85.714,29,1.381,85.857,10.524,11.143,21.667,72.308,60.181,83.761,48.571,3.524,1.19,302.714,13.971,2.619,8.273,3.81,5.688,7.286,14.333,21.619,33.7,2.095,6,0.19,2.143,2.333,4.619,0.143,0.81,0.381,0.19,0.667,0.476,0.19,0,0,0,,0,,3.333,0.762,0,,0.333,,18,0.857,0.286,1.571,0.619,54.545,6.476,26.255,1.19,0.19,1.048,17.905,0.381
Karl Amon,Port Adelaide,24,Midfielder,17,11.194,77.059,76.353,2,0.118,77.882,11.059,8.588,19.647,74.251,65.426,85.616,56.287,3.529,1.588,330.235,16.808,2.059,9.543,3.588,5.475,6.706,13.294,20,33.529,3.588,4.941,0.412,1.882,2.294,3.706,0.176,0.412,0.294,0.118,0.765,0.647,0.118,0,0,0,,0,,3.059,0.412,0.471,,0.176,,9,0.529,0.647,1.353,0.765,39.13,4.941,21,1.118,0.118,1.059,16.529,0.529
Kayne Turner,North Melbourne,24,Med Forward,21,7.576,60.667,55.762,3,0.143,82.143,6.381,6.095,12.476,73.282,64.925,82.031,51.145,2,0.524,166.524,13.347,2,6.238,2.714,4.596,5.429,7.333,12.762,42.537,2.429,3.952,0.048,0.238,0.286,2.667,0.286,0.476,0.333,0.19,1.286,0.81,0.476,0,0,0,,0,,3.476,0.952,0.048,,0.762,12.5,12,0.571,0.238,1,0.714,57.143,3.857,16.981,0.857,0.238,0.857,15.81,0.524
Kieren Jack,Sydney,32,Med Forward,8,6.438,50.875,48.375,0,0,71.125,7,3,10,68.75,60.714,87.5,70,2.125,0.75,167,16.7,1.625,6.154,1.875,5.333,3.75,5.75,9.5,39.474,1.375,2.875,0.5,0.5,1,2.125,0.125,0.5,0,0.125,0.625,0.5,0.125,0,0,0,,0,,3.125,1,0.125,,0.75,,4,0.5,0.375,1.125,0.375,,3.375,15.882,0.25,0,1.5,13.5,0.75
Kobe Mutch,Essendon,21,Midfielder,1,0.1,0,0,0,0,3,0,0,0,,,,,0,0,0,,0,,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,3,0
Kyle Dunkley,Melbourne,19,Midfielder,5,5.52,47.8,49,0,0,73.2,6.8,2.8,9.6,72.917,67.647,,70.833,1.8,0.6,155.8,16.229,1.8,5.333,1.8,5.333,3.2,6.6,9.8,32.653,1.2,2,0,0.6,0.6,4.4,0.4,0.4,0.2,0.4,0.6,0.8,-0.2,0,0,0,,0,,2,0.8,0,,1.2,,3,0.6,0,0.8,0.6,,3.2,15.842,0.4,0,0.6,15,0.4
Kyle Hartigan,Adelaide,28,Key Defender,19,4.847,44.053,42.105,0,0,87.947,6.263,4,10.263,79.487,73.95,88.158,61.026,0.474,2.105,111.526,10.867,1.842,5.571,1.842,5.571,2.842,7.421,10.263,27.692,4.474,1.842,0,0.211,0.211,4.158,0.368,0,1.579,0,0.632,0.526,0.105,0,0,0,,0,,0.947,0,2.632,28,0.053,,0,0,0,0,0,,0.789,3.456,0.421,0,4.579,5.632,4.211
Kyle Langford,Essendon,23,Mid Forward,18,10.217,71.889,69.389,0,0,77.056,9,8.444,17.444,73.885,65.432,82.895,51.592,2.722,1,250.389,14.354,2.611,6.681,3.5,4.984,6.889,10.611,17.5,39.365,2.389,5.278,0.722,1.5,2.222,3.556,0.444,0.722,0.444,0.111,0.722,1.167,-0.444,0.222,0.261,0,,0,,3.111,0.222,0.167,,0.333,,15,0.833,0.167,1.444,0.278,57.692,4.056,20.621,0.889,0.5,1.167,15.611,0.444
Kyron Hayden,North Melbourne,20,Midfielder,1,2,31,27,0,0,41,1,3,4,,,,,0,0,9,,1,4,0,,2,2,4,,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,,5,1,0,,0,,0,0,0,0,0,,1,3.846,0,0,1,17,1
Lachie Fogarty,Geelong,20,Midfielder,2,6.5,50.5,49,0,0,55,5,4.5,9.5,,,,,2,0,114,,0.5,19,1,9.5,3,6,9,,1.5,2.5,0,0,0,1.5,0,0,0,0,0.5,0,0.5,0,0,0,,0,,5,1,1,,0,,0,0,0,0,0.5,,2,8.696,0.5,0,1,12.5,0.5
Lachie Henderson,Geelong,30,Key Defender,6,7.983,67.167,53.667,0,0,86.167,8.833,3.667,12.5,78.667,81.132,72.727,70.667,1.5,3.5,265.667,21.253,2.5,5,4,3.125,5.667,6.167,11.833,47.887,6.167,3.167,0,0.333,0.333,4.833,1.5,0.167,2,0,0.5,0.5,0,0.167,0.175,0,,0,,1.333,0.667,3.333,20,1.333,,1,0.167,0,0.167,0.167,,1.667,6.757,0.667,0,3.833,9.333,2.833
Lachie Hunter,Western Bulldogs,25,Midfielder,23,9.783,94.913,97.826,29,1.261,90.174,14.435,12.13,26.565,77.578,64.759,92.832,54.337,4.478,1.826,407.696,15.347,1.957,13.578,4.304,6.172,6.174,20.087,26.261,23.51,3.826,4.913,0.348,1.783,2.13,6.522,0.174,0.391,0.652,0.13,1.087,0.435,0.652,0,0,0,,0,,2.304,0.391,0.652,66.667,0.217,,5,0.217,0.391,0.87,0.391,25,5.435,22.282,0.957,1.391,1.87,14.435,0.87
Lachie Neale,Brisbane,26,Midfielder,24,16.733,118.917,103.542,85,3.542,88.875,12.542,18.375,30.917,78.706,71.096,83.9,40.566,3.5,1.667,317.5,10.27,2.958,10.451,3.75,8.244,15.792,15.083,30.875,51.147,4,10.583,2.958,4.917,7.875,4.083,0.083,0.208,0.333,0.167,1.5,0.958,0.542,0,0,0,,0,,3.75,0.5,0.167,,0.125,,12,0.5,0.292,1,0.5,50,5.917,23.127,2.125,0.542,0.75,20.583,0.208
Lachie Plowman,Carlton,25,Med Defender,21,8.629,72.333,61.952,1,0.048,92.857,10.476,4.048,14.524,77.049,74.091,84.706,72.131,1,3.619,218.429,15.039,1.619,8.971,2.524,5.755,4.714,8.238,12.952,36.397,6.476,3.333,0.048,0.429,0.476,4.571,0.333,0.048,1.857,0,0.857,0.429,0.429,0,0,0,,0,,2.286,0.048,2.476,25,0,,0,0,0,0.048,0.095,,1.81,8.559,0.81,0.143,4.952,9.286,4.095
Lachie Schultz,Fremantle,22,Med Forward,7,5.129,42.714,47.429,0,0,72.143,6.571,5.143,11.714,51.22,41.304,63.889,56.098,1.429,1,148.429,12.671,3.286,3.565,2.857,4.1,5.857,6,11.857,49.398,1.143,4.857,0,0.714,0.714,2.143,0.286,0.714,0,0.429,0.429,1,-0.571,0,0,0,,0,,2.429,0.571,0,,0.857,,4,0.571,0.429,1.429,0.143,40,4.143,18.125,0.857,0,1.143,16,0.571
Lachie Weller,Gold Coast,23,Med Defender,17,9.171,88.588,82.412,5,0.294,86.471,13.353,8.706,22.059,75.2,69.604,83.784,60.533,2.706,5.529,460.353,20.869,2.059,10.714,4.353,5.068,6.412,13.471,19.882,32.249,4.353,4.882,0.235,1.941,2.176,4.765,0.235,0,0.882,0.235,0.706,0.706,0,0,0,0,,0,,2.765,0.235,0.941,25,0.118,,2,0.118,0.294,0.412,0.235,,2.824,16.438,0.529,1.412,1.765,12.647,1.412
Lachie Whitfield,Greater Western Sydney,25,Mid Forward,19,12.5,106.579,107.474,48,2.526,84.526,16.947,10.053,27,73.099,70.186,78.01,62.768,3.579,3.421,466.263,17.269,2.632,10.26,5,5.4,7.211,18.737,25.947,27.789,3.053,5.421,0.632,2.737,3.368,7.684,0.053,0.526,0.684,0.947,0.684,0.737,-0.053,0,0,0,,0,,2.789,0.474,0.105,,0.211,,11,0.579,0.368,1.053,0.421,55,6.263,25.702,1.684,0.474,1,14.579,0.368
Lachie Young,Western Bulldogs,20,Med Defender,6,3.733,44.833,47.167,0,0,78,6.667,4.333,11,63.636,67.5,57.692,60.606,1.167,2.333,223.667,20.333,2,5.5,3,3.667,2.5,8.5,11,22.727,2.5,1.833,0,0.167,0.167,4,0.333,0,0.833,0,0.333,0.167,0.167,0,0,0,,0,,1.667,0.167,1.167,,0,,0,0,0,0,0.333,,1.333,5.594,0,0.167,4.833,10.167,4.333
Lachlan Keeffe,Greater Western Sydney,29,Key Defender,10,5.68,49.7,42.4,0,0,86.4,5.3,2.8,8.1,80.247,83.019,75,65.432,0.4,0.7,101,12.469,1.9,4.263,1.5,5.4,3.2,4.5,7.7,41.558,2.6,2,0,0.1,0.1,3.6,0.6,0.6,0.8,0.4,0.6,0.9,-0.3,5.6,5.458,1.5,26.786,0.1,,1.7,0.2,2.9,17.241,1.3,30.769,6,0.6,0.3,0.9,0,,1.8,8.257,0.3,0,5.7,8.1,5.4
Lachlan Murphy,Adelaide,21,Med Forward,21,7.276,54.476,55.143,0,0,77,6.333,4.381,10.714,64.444,57.143,75,59.111,2.381,0.19,181.714,16.96,1.619,6.618,2.429,4.412,5.19,5.81,11,47.186,0.905,3.238,0.19,0.095,0.286,2.762,0.238,0.667,0.143,0.476,1.571,0.524,1.048,0,0,0,,0,,3.238,1.381,0.048,,1.714,8.333,19,0.905,0.714,1.857,0.619,48.718,4.286,18.987,0.19,0.143,0.905,14.143,0.524
Lance Franklin,Sydney,32,Key Forward,10,10.95,72.6,70.5,10,1,87.8,9.6,2.1,11.7,58.974,55.208,76.19,82.051,2.8,0.1,258.7,22.111,2.9,4.034,3.2,3.656,5.4,6.6,12,45,1,2.3,0,0.3,0.3,5.5,1.9,3.4,0,1.5,0.8,1.4,-0.6,0.2,0.233,0,,0,,1.6,0.8,0,,5.2,30.769,27,2.7,1.8,5.3,0.6,50.943,6.8,31.193,0.7,0.1,0.8,7.8,0.4
Levi Casboult,Carlton,29,Key Forward,20,9.76,74.3,65.45,17,0.85,86.7,7.95,3.2,11.15,63.229,57.862,76.562,71.3,1.45,1,152.85,13.709,2.95,3.78,2.75,4.055,5.5,5.8,11.3,48.673,3.2,2.15,0.2,1,1.2,5.7,1.95,1.1,2.15,1.1,0.6,1.5,-0.9,19.7,20.425,8.15,41.371,2.45,30.061,2.2,0.35,2.15,18.605,1.55,25.806,15,0.75,0.55,1.5,0.15,50,3,14.354,0.85,0,5.35,9.35,4.6
Levi Greenwood,Collingwood,30,Med Defender,17,6.029,62.706,61.059,1,0.059,78.765,9.412,5.353,14.765,78.088,75.625,82.418,63.745,1.176,1.941,189.176,12.813,2.059,7.171,2.647,5.578,3.882,11.235,15.118,25.681,4.588,2.824,0.059,0.235,0.294,4.529,0.588,0,1.647,0.235,0.294,0.647,-0.353,0,0,0,,0,,2.529,0.059,1.118,47.368,0.118,,0,0,0.059,0.059,0,,2.176,9.343,0.941,0.176,2.588,8.706,2.176
Lewis Jetta,West Coast,30,Med Defender,22,9.355,71.227,62.409,6,0.273,85.136,12.864,4.227,17.091,80.585,79.152,84.946,75.266,2.727,3.773,451.273,26.404,2.227,7.673,3.727,4.585,3.273,11.955,15.227,21.493,3,2.5,0.136,0.409,0.545,3.727,0,0,0.273,0,0.364,0.727,-0.364,0,0,0,,0,,1.5,0.045,1.091,45.833,0.045,,0,0,0,0.136,0.318,,3.409,14.94,1.273,0.773,1.682,11.136,1.045
Lewis Melican,Sydney,23,Key Defender,17,5.629,52.412,42.471,0,0,88.647,6.412,3.882,10.294,76.571,72.477,83.333,62.286,0.412,2.176,131,12.726,2.176,4.73,1.529,6.731,3.706,6.471,10.176,36.416,4.353,2.588,0,0.118,0.118,3.294,0.471,0,1,0,0.647,1.176,-0.529,0,0,0,,0,,2.118,0,2.824,33.333,0.059,,0,0,0,0,0,,1.706,8.033,1,0,6.118,9.824,5.471
Lewis Pierce,St Kilda,25,Ruck,1,6.7,55,47,0,0,77,2,4,6,,,,,0,0,13,,2,3,1,6,6,1,7,,2,3,1,0,1,0,0,0,0,0,1,1,0,75,75.758,27,36,8,29.63,2,0,0,,1,,0,0,0,0,0,,3,15,1,0,3,6,2
Lewis Taylor,Brisbane,24,Midfielder,5,6.84,71.4,70.4,5,1,74.6,10.4,6,16.4,76.829,71.154,86.667,63.415,2,1.8,241.6,14.732,2,8.2,2,8.2,5.4,11.2,16.6,32.53,3,4.4,0.2,0.8,1,4.2,0,0.6,0.4,0.4,1,0.2,0.8,0,0,0,,0,,2.4,0.2,0.6,,0.4,,3,0.6,1,1.6,0,,3.6,13.953,0.8,0,0.8,12.8,0.4
Lewis Young,Western Bulldogs,21,Key Defender,5,7.84,57,49.4,0,0,96.4,9.4,2.6,12,61.667,55.319,,78.333,1,5.2,277,23.083,2.2,5.455,4.6,2.609,5.8,6.2,12,48.333,8.2,3.8,0,0.2,0.2,4.2,0.6,0,2.6,0,0.8,0.2,0.6,0,0,0,,0,,0.8,0,4.6,17.391,0,,0,0,0,0.2,0,,2.2,8.73,1.2,0.2,7.2,7.8,6.6
Liam Baker,Richmond,21,Med Defender,19,9.442,69.737,65.895,1,0.053,76.526,8.737,8.158,16.895,70.093,59.036,81.935,51.713,2.526,1.158,240.368,14.227,2.579,6.551,3.579,4.721,6.263,10.526,16.789,37.304,4.421,5.211,0.316,0.526,0.842,3.316,0.105,0.526,0.737,0.211,0.842,1.105,-0.263,0,0,0,,0,,3.211,0.632,0.842,50,0.368,,8,0.421,0.526,1.105,0.368,38.095,3.842,16.705,1,0.105,1.105,14.737,0.579
Liam Duggan,West Coast,23,Med Defender,15,6.48,65,66.267,0,0,83.6,11.6,4.333,15.933,75.732,72.989,83.077,72.803,1.467,2.4,290.133,18.209,2.4,6.639,3.133,5.085,4.533,11.267,15.8,28.692,4.4,3.333,0,0.4,0.4,5.667,0.333,0,0.933,0,0.4,0.533,-0.133,0,0,0,,0,,1.733,0.067,1.133,35.294,0.067,,0,0,0.067,0.067,0.333,,2.333,10.479,0.6,0.467,3.133,11.867,2.467
Liam Jones,Carlton,28,Key Defender,13,10.085,66.077,44.923,16,1.231,91.846,6.692,2.231,8.923,81.034,81.609,79.31,75,0.538,2.769,119.538,13.397,1.846,4.833,1.615,5.524,5.538,4,9.538,58.065,6.308,2.231,0,0.462,0.462,4.769,1.923,0,3.077,0,0.923,1.154,-0.231,0,0,0,,0,,2.154,0,5.308,24.638,0,,0,0,0,0,0,,0.692,3.191,0.538,0,8.308,6.769,7.538
Liam Ryan,West Coast,23,Med Forward,24,8.812,62.292,56.792,10,0.417,79.917,8.792,2.917,11.708,55.516,52.607,64.286,75.089,2.833,0.167,235.542,20.117,2.667,4.391,3.167,3.697,6.167,5.875,12.042,51.211,1.417,4.083,0.042,0.708,0.75,3,0.792,1.125,0.167,0.375,1.042,0.75,0.292,0,0,0,,0,,2.125,0.75,0.042,,1.417,26.471,30,1.25,0.792,2.917,0.833,42.857,4.875,21.627,0.708,0.458,1,15.292,0.417
Liam Shiels,Hawthorn,28,Midfielder,19,10.6,86.842,95.579,31,1.632,80.263,13.105,10.105,23.211,65.306,50.201,84.896,56.463,3.526,1.211,340.632,14.676,4.263,5.444,4.474,5.188,8.368,13.684,22.053,37.947,2.579,5.316,1.053,3,4.053,3.421,0.421,0.263,0.316,0.158,0.684,1.737,-1.053,0,0,0,,0,,6.632,1.053,0.263,,0.158,,10,0.526,0.632,1.211,0.474,43.478,5,22.3,1.158,0.158,1.421,24.263,0.316
Liam Stocker,Carlton,19,Med Defender,5,3.14,49.6,45.8,0,0,71.6,8.4,5.2,13.6,77.941,73.81,84.615,61.765,1.6,2.4,180,13.235,3.8,3.579,3.8,3.579,4,7.6,11.6,34.483,3.8,3.4,0.4,0.4,0.8,2.4,0,0,0.4,0,0.6,1.6,-1,0,0,0,,0,,1.8,0,0.6,,0,,0,0,0,0,0.2,,1.8,10.976,0.8,0,1.6,12.8,1
