Player,Team,Age,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,CentreClearances,StoppageClearances,TotalClearances,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,Bounces,OnePercenters,PressureActs,Spoils
Kane Cornes,Port Adelaide,30,23,11.53,103.87,105.174,37,1.762,91.522,14.826,12.565,27.391,75.238,68.328,83.391,54.127,2.565,2.696,352.87,12.883,2.348,11.667,4,6.848,7.696,19.783,27.478,28.006,2.739,5.957,0.783,1.739,2.522,5.522,0.043,0.087,0.13,0.043,1.13,0.739,0.391,0,0,0,,0,,4.652,0.87,0.304,,0,,5,0.217,0.174,0.565,0.391,38.462,6.087,24.096,0.957,0.565,0.739,15.739,0.217
Kane Lucas,Carlton,22,17,8.306,69.882,69.647,0,0,78.118,9.647,8.471,18.118,69.805,57.927,83.333,53.247,3.059,1.471,310.941,17.162,2.588,7,3.647,4.968,6.588,11.706,18.294,36.013,2.235,5,0.235,1.647,1.882,4.412,0.529,0.647,0.294,0.294,0.353,0.706,-0.353,0,0,0,,0,,2.118,0.647,0.412,,1.235,47.619,9,0.529,0.647,1.353,0.471,39.13,4.647,17.287,0.529,1.765,0.824,11.412,0.412
Kane Mitchell,Port Adelaide,24,13,6.754,44.538,48.692,0,0,54.692,5.923,5.077,11,69.93,51.948,90.909,53.846,1.769,0.385,188.385,17.126,1.308,8.412,1.692,6.5,4.538,6.538,11.077,40.972,1.308,3.154,0.154,1.538,1.692,2.231,0,0.462,0.154,0.154,1,0.462,0.538,0,0,0,,0,,2.538,0.538,0.077,,0.462,,8,0.615,0.615,1.231,0.154,50,3.077,12.048,0.385,0.154,0.692,10.462,0.077
Karmichael Hunt,Gold Coast,27,9,3.956,43.333,42.778,0,0,64.111,4,5.556,9.556,68.605,52.778,80,41.86,1.333,0.556,94.111,9.849,1.222,7.818,2.111,4.526,4.444,5.667,10.111,43.956,0.889,3.556,0.333,1.111,1.444,2.333,0.111,0.778,0.222,0.444,0.222,0.667,-0.444,0,0,0,,0,,3.222,0.333,0.111,,0.444,,2,0.222,0.222,0.778,0.333,,2.556,9.705,0.444,0.111,1.444,11.111,0.778
Kepler Bradley,Fremantle,28,5,7.44,54.8,50.2,0,0,71.2,6.6,3.6,10.2,66.667,66.667,,64.706,1.6,0.2,166.25,15.833,1.6,6.375,1.25,8.4,5.4,4.8,10.2,52.941,0.5,4,0,0.8,0.8,2.6,0.4,0.6,0.25,0.75,0.8,0.8,0,17.5,18.325,4.2,18.571,0.25,,1,0,0,,1.25,,7,1.4,0.4,2.25,0.4,,4,16.667,0.75,0.4,1.2,5.25,0.75
Kieran Harper,North Melbourne,21,3,3.567,39,37.667,0,0,58.333,3.333,1.667,5,,,,,1,0.667,82.333,,2,2.5,0.667,7.5,2.667,3,5.667,,0.333,0.667,1,0,1,1,0,0,0,0,1,1.333,-0.333,0,0,0,,0,,6,2,0,,0,,0,0,0.333,0.333,0.667,,2.333,9.722,0.333,0,2,16,0
Kieren Jack,Sydney,26,25,16.596,108.88,100.44,92,4.182,84.68,14,11.24,25.24,69.255,60.286,80.427,55.468,5.8,1.36,438.04,17.355,2.64,9.561,4.32,5.843,10.76,14.32,25.08,42.903,2.52,8.08,1.96,3.16,5.12,2.12,0.04,0.24,0.12,0.12,0.84,1,-0.16,0,0,0,,0,,6.36,0.72,0.24,,0.4,30,24,0.96,0.56,1.92,1.08,50,6.84,26.719,1.16,0.32,1.12,21.96,0.44
Koby Stevens,Western Bulldogs,22,19,7.753,68.053,67.211,9,0.474,70.158,8.421,9.895,18.316,75.575,63.75,85.638,45.977,2.842,1.158,253.316,13.83,2.158,8.488,3.789,4.833,6.211,12.842,19.053,32.597,2.053,4.368,0.632,1.158,1.789,3.421,0.474,0.579,0.368,0.158,0.526,1.105,-0.579,0,0,0,,0,,2.842,0.526,0.158,,0.684,38.462,9,0.474,0.474,1.053,0.526,45,5,21.445,0.684,0.211,0.947,10.158,0.737
Kristian Jaksch,Greater Western Sydney,19,2,3.7,33,35.5,0,0,59,5,2.5,7.5,,,,,0.5,0,90,,1,7.5,1.5,5,1.5,6,7.5,,1.5,1.5,0,0,0,4,0,0,0.5,0.5,0,0.5,-0.5,0,0,0,,0,,0.5,0,0,,1,,1,0.5,0,0.5,0.5,,2,13.333,1,0,1.5,4.5,1.5
Kurt Tippett,Sydney,26,12,11.25,80,69.833,17,1.7,75.583,7.083,3.667,10.75,64.341,61.176,70.455,65.891,1,0.083,183,17.023,1.417,7.588,2,5.375,6.5,4.417,10.917,59.542,1.083,3.25,0,0.25,0.25,4.417,1.833,3,0.25,1.25,1.083,1.083,0,2.5,2.504,1.333,53.333,0.333,,2.417,1.25,0.167,,5.167,20.968,35,2.917,1.667,4.75,0.333,61.404,6.333,24.359,0.5,0,1.917,10.167,1.5
Kyal Horsley,Gold Coast,26,1,2.1,30,34,0,0,41,4,5,9,,,,,0,2,35,,1,9,2,4.5,4,5,9,,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,,3,0,0,,0,,0,0,0,0,0,,1,4.762,1,0,1,13,0
Kyle Cheney,Hawthorn,24,4,5.6,51,51.5,0,0,69,7.5,5.75,13.25,75.472,73.333,78.261,56.604,1.75,0.5,199.75,15.075,1.25,10.6,2.25,5.889,4.5,8.75,13.25,33.962,4,3.5,0.25,0.25,0.5,3.5,0.25,0,0.75,0,0.75,1,-0.25,0,0,0,,0,,2.25,0,1.5,,0.25,,0,0,0.25,0.25,0.25,,2.25,7.2,0.5,0,3.75,9.75,2.75
Kyle Hardingham,Essendon,25,8,9.537,62.75,59.25,0,0,90.125,8,5.375,13.375,79.439,73.438,88.372,59.813,1.125,2.5,210.625,15.748,1.625,8.231,1.5,8.917,5.5,8,13.5,40.741,4.75,4,0.125,0.25,0.375,5.375,1.25,0.75,1.625,0.375,0,0.25,-0.25,0,0,0,,0,,1.625,0.125,1.125,,0.625,,3,0.375,0.375,1.125,0.125,,5,19.608,1.375,0.375,1.75,7.625,1.5
Kyle Hartigan,Adelaide,22,3,2.833,61.667,70.333,0,0,86.667,9,9.667,18.667,87.5,81.481,93.103,48.214,1.333,1.667,139.333,7.464,2.333,8,2.333,8,4,15,19,21.053,4.667,2,0,0,0,7.333,0.667,0,1.667,0,1.333,0.667,0.667,0,0,0,,0,,0.667,0,1.333,,0,,0,0,0,0,0,,2.667,9.756,0.667,0,2.667,2.667,1.667
Kyle Martin,Collingwood,23,4,9.15,77,78.25,2,0.5,78,7.75,8.5,16.25,75.385,58.065,91.176,47.692,2.75,0,189.5,11.662,1.5,10.833,2.75,5.909,6.5,9.75,16.25,40,1.5,5,1.5,0.75,2.25,5.25,0.5,1.75,0.25,0.25,0.75,0.75,0,0,0,0,,0,,3.5,1.25,0,,0.5,,6,1.5,0.75,2.25,0,,4.25,15.888,0.25,0.25,0.75,16.25,0.5
Lachie Henderson,Carlton,24,24,11.979,84.333,68.542,24,1.091,94.417,10.083,3.625,13.708,72.644,71.074,77.011,73.556,2.167,2.583,269,19.623,1.875,7.311,3,4.569,6.25,7.25,13.5,46.296,5.333,3.75,0,0.167,0.167,6.375,1.958,1.292,2.083,0.792,0.375,0.792,-0.417,0.042,0.044,0,,0,,1.708,0.25,3.083,24.324,3,36.111,26,1.083,0.583,1.75,0.375,61.905,4.458,16.386,0.958,0.5,4.292,9.458,3.75
Lachie Hunter,Western Bulldogs,19,9,7.456,52.778,51.556,0,0,57.556,7.333,5.889,13.222,75.63,65.152,88.679,55.462,2.889,0.444,225.667,17.067,1.778,7.438,3.333,3.967,4.444,8.556,13,34.188,1.222,3.333,0.222,0.444,0.667,2.778,0.111,0.556,0,0.444,0.556,0.444,0.111,0,0,0,,0,,1.778,0.444,0,,1.778,25,4,0.444,0.444,1,0.222,,4.333,17.105,0.444,0.222,1,8.667,0.333
Lachie Neale,Fremantle,20,12,11.542,77.167,68.833,17,1.889,65.833,9.25,10.5,19.75,77.215,71.171,82.54,46.835,1.917,1.167,236.25,11.962,1.75,11.286,2.75,7.182,8.5,11.417,19.917,42.678,2.833,7.083,0.917,2.083,3,3.333,0.167,0.25,0.25,0.083,0.583,0.5,0.083,0,0,0,,0,,1.667,0.25,0,,0.25,,8,0.667,0.333,1.083,0.583,61.538,4.5,18.121,0.917,0.417,0.667,12.667,0.25
Lachie Plowman,Greater Western Sydney,19,6,5.617,42.167,37.5,0,0,77.333,5.833,3.5,9.333,78.571,77.143,80.952,62.5,0.667,1,122,13.071,1.333,7,1.333,7,4.167,5.167,9.333,44.643,2.167,3,0.167,0.167,0.333,2.667,0.333,0.5,0.333,0.167,0.833,0.333,0.5,0,0,0,,0,,1,0,0.5,,0.833,,1,0.167,0.167,0.333,0.167,,2.167,10.078,0.667,0,1.833,10,1.667
Lachie Whitfield,Greater Western Sydney,19,19,8.547,73,71.105,2,0.105,78.789,9.158,8.316,17.474,77.711,70.69,85.443,52.41,1.579,1.842,281.947,16.136,1.526,11.448,2.737,6.385,4.421,13.368,17.789,24.852,1.842,3.105,0.737,0.526,1.263,5.421,0.316,0.316,0.421,0.263,0.684,0.526,0.158,0.105,0.111,0.053,,0,,2.211,0.421,0.158,,0.421,,8,0.421,0.211,0.684,0.684,61.538,4.421,22.703,0.579,0.632,0.895,15.684,0.526
Lachlan Hansen,North Melbourne,25,20,7.355,72.95,72.3,25,1.25,84.05,10.15,6.55,16.7,80.838,74.877,90.076,60.778,1.3,1.85,219.316,12.476,1.5,11.133,2.421,7.261,4.6,12.05,16.65,27.628,4.632,2.684,0.05,0.1,0.15,7.85,1.65,0.25,2.263,0.526,0.35,0.85,-0.5,0.579,0.634,0.4,,0.053,,1.25,0.158,1.632,19.355,0.737,14.286,6,0.3,0.2,0.526,0.15,60,4.316,15.679,1.053,0.4,2.85,5.368,2.842
Lachlan Keeffe,Collingwood,23,8,9.713,64.125,52.625,0,0,86.375,8.125,4.125,12.25,83.673,87.692,75.758,66.327,0.375,2.125,196.875,16.071,1.25,9.8,2.375,5.158,4.75,8.125,12.875,36.893,5.125,3.375,0.125,0.125,0.25,5,0.625,0.125,1.25,0,0.5,0.625,-0.125,2,2.336,0.125,,0.125,,1.375,0,4.25,11.765,0.75,,1,0.125,0,0.125,0.125,,1.75,6.542,0.75,0,4.625,6.125,4
Lance Franklin,Hawthorn,26,21,14.267,88.095,78.143,18,0.947,92.429,10.19,5.476,15.667,66.565,60.28,78.261,65.046,3.333,0.19,280.762,17.921,3.286,4.768,3.381,4.634,7.429,8.714,16.143,46.018,1.095,4.286,0.095,0.619,0.714,4.095,1.238,2.238,0.333,1.286,1.333,1.952,-0.619,0.19,0.201,0.048,,0,,2.476,1.048,0,,5.381,36.283,60,2.857,1.762,5.429,0.524,52.632,8.19,27.922,0.762,0.143,1.81,11.429,1.048
Lauchlan Dalgleish,Essendon,20,3,6.1,54,55.333,0,0,81.333,10.333,3.667,14,78.571,80.645,,73.81,2.333,2.333,299.333,21.381,1.333,10.5,2.667,5.25,2.333,11,13.333,17.5,1.667,2.333,0.667,0.667,1.333,4.667,0,0,0.333,0,0.333,0.667,-0.333,0,0,0,,0,,0.667,0,0.333,,0,,1,0.333,0,0.333,0.667,,2.667,11.94,0.333,0.667,0.333,6.667,0.333
Lee Spurr,Fremantle,26,23,8.483,74.217,72.087,2,0.1,95.174,11.391,5.913,17.304,83.29,82,85.714,65.829,1.043,2.565,250.864,14.41,2.261,7.654,3.227,5.394,5.13,11.826,16.957,30.256,5.909,3.636,0.087,0.348,0.435,5.826,0.696,0.174,1.727,0,0.696,1.043,-0.348,0,0,0,,0,,2.609,0.091,1.682,27.027,0,,2,0.087,0.087,0.182,0.13,,3.136,12.321,1.091,0.348,2.261,10.091,1.864
Leigh Adams,North Melbourne,25,20,9.69,79.45,71.65,4,0.2,77.6,8.6,9.4,18,77.353,68.902,85.227,47.778,3.35,0.9,218.368,12.203,1.65,10.909,2.211,8.095,7.25,10.95,18.2,39.835,1.316,5.895,0.65,1.05,1.7,3.65,0.05,0.6,0.105,0.737,0.55,0.65,-0.1,0,0,0,,0,,3.3,0.947,0.211,,0.526,10,13,0.65,0.4,1.316,0.65,52,6.053,22.158,0.474,0.05,0.8,15.263,0.368
Leigh Montagna,St Kilda,30,21,13.229,114.762,111.81,58,2.762,84.81,18.81,10.762,29.571,71.659,66.329,80.973,63.607,4.524,3.238,583.238,19.723,3.143,9.409,5.19,5.697,8.571,19.952,28.524,30.05,2.476,6.095,1.238,2.476,3.714,4.81,0.048,0.19,0.286,0.238,0.952,0.714,0.238,0.048,0.055,0.048,,0.048,,3.905,0.429,0.143,,0.333,,16,0.762,0.381,1.19,0.667,64,6.619,29.638,1.381,1.571,0.619,15.286,0.286
Leigh Osborne,Gold Coast,23,1,2.9,42,33,0,0,79,4,5,9,,,,,1,1,117,,1,9,2,4.5,3,6,9,,2,2,0,1,1,3,0,2,0,1,1,1,0,0,0,0,,0,,1,0,0,,0,,0,0,0,0,0,,2,10,0,0,2,10,0
Lenny Hayes,St Kilda,33,14,9.457,91.214,86.786,8,0.571,75,11.214,11.929,23.143,72.84,63.694,81.437,48.457,4.143,1,307.571,13.29,3,7.714,4.143,5.586,10.571,13.071,23.643,44.713,2.857,7.357,1.929,3.286,5.214,3.571,0.143,0.286,0.357,0.214,1.357,0.929,0.429,0.5,0.586,0.5,,0.071,,4.571,0.643,0.071,,0.214,,2,0.143,0.357,0.571,0.714,,6.071,25.223,1.857,0.071,1.071,16.214,0.5
Leroy Jetta,Essendon,25,8,9.137,46.125,51.125,0,0,65.25,5.375,6,11.375,68.132,51.163,83.333,47.253,2.625,0.375,178.125,15.659,1.125,10.111,1.375,8.273,5.125,6.375,11.5,44.565,2.125,3.875,0.75,0.75,1.5,1.75,0.25,0.25,0.125,0.125,0.5,0.5,0,0,0,0,,0,,3.75,1.25,0,,0.875,,4,0.5,0.75,1.5,0.625,33.333,4.75,19.588,1.375,1.125,1,14.75,0.5
Levi Casboult,Carlton,23,11,5.691,53.455,51.909,0,0,81.364,5.727,3.364,9.091,61,49.206,81.081,63,1.455,0.182,123.364,13.57,2.273,4,2.091,4.348,5.364,3.545,8.909,60.204,1.364,2.273,0.091,0.545,0.636,4.364,2.273,0.909,0.727,0.636,0.727,1,-0.273,18.364,18.967,6.182,33.663,1.909,30.882,1.636,0.364,0.455,,3.455,26.316,7,0.636,0.636,1.455,0.091,43.75,3.818,14.947,1.091,0,2.091,10.091,1.818
Levi Greenwood,North Melbourne,24,6,12.783,92.167,83.5,9,1.5,77.5,10,11.833,21.833,73.451,65.385,80.328,45.802,2.5,1.167,223.6,9.894,2.833,7.706,4.4,5.136,11,11,22,50,3.8,8.4,2.833,1.167,4,2.667,0.167,0,0.8,0.2,1,1,0,1,1.136,0.833,,0.4,,5.5,0.6,0,,0,,1,0.167,0,0.2,0.833,,5.4,20,1.6,0,0.833,16.2,0.2
Lewis Jetta,Sydney,24,13,9.854,57.231,58.462,0,0,72.846,8.923,2.923,11.846,68.182,65.517,76.316,75.325,3.692,1.308,348.385,29.409,1.308,9.059,2.692,4.4,3.154,8.615,11.769,26.797,1.231,2.462,0.077,0.923,1,3.308,0.077,0.231,0.077,0.231,0.154,0.154,0,0,0,0,,0,,2.846,0.308,0.231,,0.615,,10,0.769,0.231,1.385,0.538,55.556,2.846,11.821,0.308,1.154,1.308,13.923,0.846
Lewis Johnston,Adelaide,22,5,10,70,75.8,8,1.6,91.2,10.2,3,13.2,68.182,62.745,,77.273,3.2,0,270.8,20.515,2.4,5.5,2.4,5.5,5,7.6,12.6,39.683,1.8,2.6,0,0,0,4.4,0.6,1.6,0.4,1,1.8,1.2,0.6,5.6,5.882,1,17.857,0.2,,3,2,0,,6,20,11,2.2,1.6,4.4,0.4,50,7.4,25.517,1,0,1.6,14,1.4
Lewis Roberts-Thomson,Sydney,30,4,5.9,46.25,33,0,0,79.75,5.5,3.5,9,69.444,59.091,,61.111,0,1.25,143,15.889,1.5,6,1.25,7.2,2,6.75,8.75,22.857,3,0.75,0.25,0,0.25,1.75,0.25,0.5,0.5,0,1,1.5,-0.5,0,0,0,,0,,1.5,0,2.5,20,0.25,,1,0.25,0.25,0.5,0,,1.75,6.422,1.25,0,6.75,4.75,6.5
Lewis Stevenson,Port Adelaide,24,9,4.556,59,53.778,0,0,83.556,9,5.667,14.667,71.97,67.901,78.431,61.364,1.778,3,304.889,20.788,2.778,5.28,4.222,3.474,4,9.667,13.667,29.268,3.222,3.667,0,0.778,0.778,3.111,0.111,0,0.333,0.111,0.333,0.889,-0.556,0.111,0.123,0,,0,,2.111,0,1.667,40,0,,0,0,0,0.222,0,,3.667,13.043,1.667,0.333,1.778,8.333,1.556
Liam Anthony,North Melbourne,26,5,4.02,44.4,48,0,0,49.6,6.6,6,12.6,76.19,69.697,83.333,52.381,0.8,0.8,180.2,14.302,2.2,5.727,2.8,4.5,4.2,8.6,12.8,32.812,1.4,3,0.2,0.8,1,3.2,0.2,0,0,0.2,0.4,1,-0.6,0,0,0,,0,,2,0.2,0.4,,0.2,,1,0.2,0,0.4,0,,2.2,9.167,0.6,0,0.4,8.6,0.4
Liam Jones,Western Bulldogs,22,19,5.442,51.474,48.053,5,0.263,86.789,5.632,2.842,8.474,63.354,61.682,66.667,66.46,1.842,0.105,141.421,16.689,1.526,5.552,2.105,4.025,5.526,3.263,8.789,62.874,1.053,2.158,0,0.053,0.053,4.053,1.842,1.737,0.263,1.105,1.263,0.684,0.579,2.842,2.919,0.474,16.667,0.105,,1.474,0.579,0.158,,4.421,26.19,22,1.158,0.789,2.211,0.263,52.381,4.053,17.991,0.474,0,0.737,8.053,0.368
Liam Patrick,Gold Coast,25,2,3.6,23.5,24.5,0,0,78,4,3,7,,,,,2.5,0.5,134.5,,2,3.5,2.5,2.8,0.5,6,6.5,,0,0.5,0,0.5,0.5,1.5,0,0,0,1,0,2,-2,0,0,0,,0,,2,0.5,0,,0.5,,0,0,0,0,0.5,,2.5,13.158,0.5,2,0.5,15,0
Liam Picken,Western Bulldogs,27,20,5.7,63.05,64.25,1,0.05,85.85,9.05,7.3,16.35,73.394,65.746,82.877,55.352,1.55,1.95,247.05,15.11,1.8,9.083,2.6,6.288,4.55,11.6,16.15,28.173,3.45,3.6,0.25,0.35,0.6,3.35,0.25,0.05,0.45,0.05,0.8,0.7,0.1,0.1,0.104,0.1,,0,,3.3,0.25,1.05,33.333,0.4,,1,0.05,0.15,0.2,0.1,,2.6,11.207,0.5,0.65,2.35,11.45,1.95
Liam Shiels,Hawthorn,22,17,6.441,61.882,64.235,1,0.071,80.118,9.647,5.647,15.294,66.538,58.537,80.208,63.077,3.235,0.941,269.706,17.635,1.647,9.286,2.706,5.652,5.765,9.471,15.235,37.838,1.824,3.941,0.647,1.706,2.353,3.588,0.176,0.471,0.235,0,0.765,0.588,0.176,0,0,0,,0,,3.176,0.529,0.118,,0.353,,3,0.176,0.471,1,0.412,17.647,4.412,14.591,0.647,0.118,1.176,16.235,0.588
Liam Sumner,Greater Western Sydney,20,8,3.288,43.125,47.75,0,0,70.375,5.75,3.625,9.375,65.333,54.348,82.759,61.333,1.25,0.375,110.25,11.76,2.125,4.412,2.375,3.947,3.75,5.5,9.25,40.541,1.875,2.5,0.25,0.5,0.75,2.5,0.125,0.875,0.125,0.25,0.75,0.625,0.125,0.125,0.144,0.125,,0,,2.875,0.75,0.25,,0.375,,6,0.75,0.75,1.75,0,42.857,3.125,16.447,0.625,0.125,0.625,14.5,0.125
Lindsay Thomas,North Melbourne,25,20,11.135,71.6,63.45,22,1.1,83.7,8.4,2.15,10.55,62.085,57.738,79.07,79.621,2.5,0.15,207.5,19.668,2.05,5.146,2,5.275,4.6,6.25,10.85,42.396,1.25,2.55,0.1,0.5,0.6,2.65,0.4,1.45,0.15,0.9,1.65,1.1,0.55,0,0,0,,0,,2.65,1.15,0.15,,1.25,12,53,2.65,1.15,4.65,0.7,56.989,5.95,21.875,1,0.35,0.9,13,0.4
Lukas Markovic,Western Bulldogs,26,4,7.225,56.5,47.75,0,0,87,3.25,5.75,9,83.333,,86.957,36.111,0.25,0,47,5.222,0.75,12,0.75,12,4.5,4.75,9.25,48.649,1.75,3,0,0.75,0.75,3.5,1,0.5,1,0.5,0.25,0.25,0,5.5,6.471,0.75,13.636,0.25,,2,0.75,1.5,,3.25,30.769,5,1.25,0.25,1.5,0.25,,4.25,20.238,0.75,0,1.75,8.5,1.25
Luke Ball,Collingwood,29,13,11.362,95.462,94.385,17,1.417,74.385,11.385,12,23.385,65.461,49.324,80.769,48.684,3,0.923,274.154,11.724,1.538,15.2,3.231,7.238,10.615,12.615,23.231,45.695,3.154,8,2.615,2.462,5.077,3.154,0.154,0.077,0.462,0.154,1.308,0.538,0.769,0.077,0.092,0,,0,,6.462,1.154,0.308,,0.308,,2,0.154,0.308,0.615,0.692,,5.615,21.598,1.385,0,1.231,17.077,0.154
Luke Breust,Hawthorn,23,25,11.6,83.32,74.92,21,0.955,84.88,7.68,6.92,14.6,69.315,60.938,78.613,52.603,2.44,0.28,202.4,13.863,1.84,7.935,2.04,7.157,7.52,7.64,15.16,49.604,1.4,5.72,0.4,0.8,1.2,3.64,0.4,1.88,0.2,0.84,0.8,0.72,0.08,0.08,0.085,0.08,,0,,4.4,1.52,0.04,,1.84,17.391,40,1.6,1.2,3.08,1.24,51.948,7.48,25.373,1.08,0.48,1.16,16.48,0.56
Luke Brown,Adelaide,21,21,7.081,60.524,55.667,1,0.048,76.238,8.381,5.619,14,79.932,76.136,85.593,59.864,1,2.381,202.429,14.459,1.095,12.783,2.333,6,4.429,9.762,14.19,31.208,4,3.571,0.19,0.429,0.619,4.19,0.19,0,0.571,0,0.524,0.381,0.143,0,0,0,,0,,1.762,0.048,2,21.429,0,,1,0.048,0,0.095,0.333,,3.19,11.986,1.048,0.619,2.095,8.286,1.714
Luke Dahlhaus,Western Bulldogs,21,22,11.491,78.955,70.318,19,0.864,82.227,8.045,8.727,16.773,68.293,54.237,81.25,47.967,2.545,0.5,192.727,11.491,1.591,10.543,2.818,5.952,8.545,7.955,16.5,51.791,1.5,6.955,0.5,1.091,1.591,1.682,0.318,0.318,0.091,0.045,1.045,0.727,0.318,0,0,0,,0,,4.091,1.182,0.091,,0.636,28.571,28,1.273,0.818,2.318,0.818,54.902,5.773,24.853,0.818,0.091,1.091,21.091,0.682
Luke Delaney,North Melbourne,24,5,4.36,54,48.8,0,0,92.2,6.2,4.4,10.6,84.906,83.871,86.364,58.491,0,1.4,105.2,9.925,0.6,17.667,1,10.6,3.2,7,10.2,31.373,3.6,1.8,0,0,0,4.6,0.8,0,1,0.2,0.6,0.4,0.2,0,0,0,,0,,2,0,4.8,33.333,0,,0,0,0.2,0.2,0,,1.8,6.977,0.6,1,4.2,8.2,3.8
Luke Hodge,Hawthorn,29,23,13.848,96.174,89.261,62,3.1,79.913,15.174,6.609,21.783,69.261,64.47,80.263,69.661,3.957,2.478,405.391,18.611,2.565,8.492,4,5.446,7.957,13.522,21.478,37.045,5.174,5.13,0.87,1.609,2.478,5,0.652,0.391,1.435,0.174,1.087,1.13,-0.043,0.391,0.408,0.391,,0.13,,3.522,0.348,0.652,20,0.348,,11,0.478,0.478,1.174,0.478,40.741,5.348,18.115,1.913,0.043,2.696,14.696,2
Luke McGuane,Richmond,26,12,6.992,62.083,55.833,0,0,93.833,6.917,3.75,10.667,67.188,60.241,80,64.844,2,0.25,158.333,14.844,3.333,3.2,2.75,3.879,5.667,4.833,10.5,53.968,1.667,3.5,0,0.25,0.25,3.75,1,1.917,0.417,0.917,0.833,1.583,-0.75,3.25,3.645,1.083,33.333,0.333,,2.083,0.833,0.167,,3.917,21.277,20,1.667,0.833,3.083,0.667,54.054,5,18.868,0.75,0.167,1.583,9,1.333
Luke McPharlin,Fremantle,32,16,5.381,71.625,73.625,25,1.923,86.875,12.188,4.438,16.625,79.699,78.974,81.69,73.308,0.438,4.625,272.667,15.376,2.25,7.389,3.4,5.216,4.188,12.062,16.25,25.769,5.8,3.4,0,0.188,0.188,8.562,0.625,0,1.8,0.067,0.312,1.125,-0.812,0.333,0.361,0.312,,0.133,,1.312,0,2.467,16.216,0.067,,0,0,0,0,0,,2,8.451,0.4,0.812,4.188,4.733,4.133
Luke Parker,Sydney,21,25,11.168,88.08,85.44,15,0.682,77.56,10.6,10.36,20.96,67.366,55.849,79.151,50.573,2.84,0.76,287.96,13.739,2.8,7.486,4.08,5.137,9.64,11.08,20.72,46.525,2.28,6.8,0.76,2.44,3.2,3.04,0.48,0.8,0.16,0.2,1.04,1,0.04,0,0,0,,0,,5,1.12,0.24,,0.96,8.333,22,0.88,0.48,1.6,0.72,55,5.64,22.031,1,0.08,1.12,18.2,0.64
Luke Russell,Gold Coast,21,18,6.394,58.667,59.833,0,0,75.611,8.5,6.222,14.722,75.094,69.281,83.036,57.736,1.556,1.611,212.667,14.445,1.611,9.138,2.056,7.162,4.333,10.333,14.667,29.545,1.944,3.778,0.278,1.111,1.389,4.111,0.111,0.278,0.222,0.389,0.444,0.667,-0.222,0.167,0.185,0.167,,0.056,,2.167,0.222,0.333,,0.278,,6,0.333,0.278,0.667,0.222,50,3.333,14.493,0.722,1,1.111,11.889,0.889
Luke Shuey,West Coast,23,14,12.586,90.714,88.429,21,1.5,76.429,12.714,8.786,21.5,70.764,59.551,86.992,59.136,3.929,1.929,400.286,18.618,2.571,8.361,4.214,5.102,8.571,12.429,21,40.816,3.071,5.286,1.286,3.071,4.357,3.429,0.143,0.214,0.5,0.143,1.357,0.857,0.5,0.071,0.073,0.071,,0,,4.786,0.286,0.357,,0.357,,9,0.643,0.571,1.643,0.714,39.13,6.357,23.545,1.786,1.143,1.143,15.857,0.357
Luke Tapscott,Melbourne,22,16,5.025,41.5,47.625,0,0,68.312,6.688,3.062,9.75,63.462,57.009,77.551,68.59,2.562,0.25,185.375,19.013,1.938,5.032,2.625,3.714,4,5.5,9.5,42.105,0.938,2.688,0.125,0.125,0.25,3.5,0.688,0.312,0.062,0.625,0.688,0.625,0.062,0,0,0,,0,,2.25,0.625,0.188,,1.312,33.333,7,0.438,0.5,1.312,0.438,33.333,3,15.894,0.5,0.062,0.688,14.5,0.625
Lynden Dunn,Melbourne,26,18,10.783,82.389,68.222,3,0.167,94.667,10.833,5.167,16,75.694,74.359,78.495,67.708,1.556,3.889,315.833,19.74,2.278,7.024,4.333,3.692,5.944,8.611,14.556,40.84,5.667,4.333,0.111,0.444,0.556,3.722,0.556,0.167,1.333,0,0.722,0.444,0.278,0.444,0.457,0.278,,0.056,,3.278,0,2.556,15.217,0.167,,4,0.222,0.111,0.389,0,,2.333,13.003,1.222,0.333,4,12.111,3.5
